-33.420696,-70.608147,Av. Providencia 2295
-33.42306,-70.611838,Av. Providencia 2076
-33.421717,-70.609821,Av. Providencia  2203
-33.422362,-70.610894,Av. Providencia  2140
-33.423257,-70.612353,Av. Providencia  2012
-33.425478,-70.614692,Av. Providencia  1819
-33.428325,-70.619176,Av. Providencia  1364
-33.436867,-70.632673,Av. Providencia 113
-33.436455,-70.632888,Av. Providencia  113
-33.433089,-70.61746,Av. Manuel Montt N° 569, Providencia
-33.437995,-70.615807,Av. Manuel Montt 1140
-33.430188,-70.602761,Av. Los Leones 1185, Providencia
-33.437583,-70.604285,Av. Francisco De Bilbao 2183
-33.441666,-70.626214,Av. Francisco Bilbao N° 445
-33.428039,-70.61746,Av. Antonio Varas  3, Providencia
-33.417956,-70.60819,Av. Andres Bello 2447, Jumbo
-33.417419,-70.608254,Av. Andres Bello 2447, Providencia
-33.420428,-70.606345,Av. 11 De Septiembre 2357
-33.429006,-70.618962,Av. 11 De Septiembre 1355, Providencia
-33.421645,-70.607761,Av. 11 De Septiembre  2275, Providencia
-33.487384,-70.558837,Tobalaba N° 12175 Loc.101
-33.487438,-70.557657,NuevSanchez Fontecilla Nº 12000, Local 1041o Titulo
-33.484055,-70.558473,Av. Tobalaba N° 11855 Peñalolen
-33.489943,-70.577956,Av. Quilin N° 5273, Peñalolen
-33.47593,-70.543753,Av. Grecia N° 8535, Peñalolen
-33.475626,-70.543563,Av. Grecia 8585 Loc. 12
-33.469218,-70.574544,Av. Grecia 5791, Peñalolen
-33.482892,-70.546456,Av. Consistorial Nº 2701, Peñalolen
-33.489048,-70.549997,Av. Consistorial 3503, Peñalolen
-33.608436,-70.900057,21 De Mayo Nº 4436, Peñaflor
-33.480172,-70.676061,Quiapo 3055, Pedro Aguirre Cerda
-33.808767,-70.737278,Av. 18 De Septiembre 311, Paine
-33.464116,-70.59847,Jose Pedro Alessandri 1027, Ñuñoa
-33.453089,-70.571519,Irarrazaval  5673, Ñuñoa
-33.442669,-70.572871,Av. Ossa 1220 Ñuñoa
-33.465226,-70.615271,Av. Marathon 1315
-33.464886,-70.597998,Av. Jose Pedro Alessandri Nº 1166
-33.458083,-70.598212,Av. Jose Pedro Alessandri N° 331 - 333
-33.456132,-70.614498,Av. Jose Domingo Cañas 1701
-33.454091,-70.578407,Av. Irarrazaval Nº 4949, Ñuñoa
-33.455255,-70.58626,Av. Irarrazaval Nº 4123, Ñuñoa
-33.452587,-70.629197,Av. Irarrazaval N° 099, Ñuñoa
-33.453268,-70.571133,Av. Irarrazaval 5701, Ñuñoa
-33.453339,-70.572077,Av. Irarrazaval 5580
-33.455022,-70.592376,Av. Irarrazaval 3665 Piso 1
-33.454234,-70.603019,Av. Irarrázaval 2710, Ñuñoa
-33.680318,-71.216408,Vicuña Mackenna N° 680, Melipilla
-33.683979,-71.21364,Serrano N 323 Loc 4 Mall Leyan
-33.685693,-71.213961,Serrano 501, Melipilla
-33.682836,-71.213833,Serrano 210, Melipilla
-33.686228,-71.21527,Av. Ortuzar 548, Melipilla
-33.513401,-71.121415,Francisco Costabal 150, Maria Pinto
-33.505994,-70.614177,Vickuña Mackenna Nº 5700
-33.480368,-70.599156,Av. Macul N° 2906
-33.283311,-70.878449,Baquedano Nº 739, Lampa
-33.287562,-70.871561,Arturo Pratt 1221, Lampa
-33.605452,-70.626794,Santa Rosa 13015
-33.362417,-70.515021,Av. La Dehesa  N° 457
-33.753853,-70.901945,Santelices 615, Isla de Maipo
-33.224759,-70.685203,San Martin N° 19000
-33.20266,-70.674816,Fontt 146
-33.284835,-70.678531,Camino A Chicureo Km 2,2
-33.27888,-70.678534,Paseo Colina Sur N° 14500 Loc. 101, Chicureo
-33.208801,-70.668143,Av. Colina N° 700
-33.277732,-70.629651,Av. Chicureo S/N Mall Piedra Roja
-33.208818,-70.678001,Carretera San Martin Km 27. Pdero 26
-33.429364,-70.736142,Jose J. Perez N° 7262
-33.412762,-70.71962,Av. Carrascal N° 6680
